timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673162476617,383,HomePage,200,OK,tidal_users 1-16,text,true,,119682,119,2,2,https://www.w3schools.com/,286,0,192
1673162476497,584,html,200,OK,tidal_users 1-15,text,true,,97948,135,2,2,https://www.w3schools.com/html/default.asp,92,0,0
1673162477000,498,html,200,OK,tidal_users 1-16,text,true,,97948,135,3,3,https://www.w3schools.com/html/default.asp,93,0,0
1673162477120,394,HomePage,200,OK,tidal_users 1-17,text,true,,119682,119,3,3,https://www.w3schools.com/,295,0,198
1673162477498,376,css,200,OK,tidal_users 1-16,text,true,,101127,134,4,4,https://www.w3schools.com/css/default.asp,93,0,0
1673162477616,395,HomePage,200,OK,tidal_users 1-18,text,true,,119682,119,3,3,https://www.w3schools.com/,296,0,198
1673162477514,612,html,200,OK,tidal_users 1-17,text,true,,97948,135,4,4,https://www.w3schools.com/html/default.asp,98,0,0
1673162477081,1079,css,200,OK,tidal_users 1-15,text,true,,101127,134,4,4,https://www.w3schools.com/css/default.asp,94,0,0
1673162478012,193,html,200,OK,tidal_users 1-18,text,true,,97948,135,3,3,https://www.w3schools.com/html/default.asp,98,0,0
1673162478115,384,HomePage,200,OK,tidal_users 1-19,text,true,,119682,119,3,3,https://www.w3schools.com/,289,0,196
1673162478127,522,css,200,OK,tidal_users 1-17,text,true,,101127,134,4,4,https://www.w3schools.com/css/default.asp,97,0,0
1673162478205,504,css,200,OK,tidal_users 1-18,text,true,,101127,134,3,3,https://www.w3schools.com/css/default.asp,97,0,0
1673162478615,394,HomePage,200,OK,tidal_users 1-20,text,true,,119682,119,2,2,https://www.w3schools.com/,295,0,198
1673162478499,573,html,200,OK,tidal_users 1-19,text,true,,97948,135,2,2,https://www.w3schools.com/html/default.asp,100,0,0
1673162479114,379,HomePage,200,OK,tidal_users 1-21,text,true,,119682,119,3,3,https://www.w3schools.com/,284,0,190
1673162479072,642,css,200,OK,tidal_users 1-19,text,true,,101127,134,4,4,https://www.w3schools.com/css/default.asp,94,0,0
1673162479010,709,html,200,OK,tidal_users 1-20,text,true,,97948,135,3,3,https://www.w3schools.com/html/default.asp,97,0,0
1673162479493,370,html,200,OK,tidal_users 1-21,text,true,,97948,135,3,3,https://www.w3schools.com/html/default.asp,94,0,0
1673162479613,382,HomePage,200,OK,tidal_users 1-22,text,true,,119682,119,3,3,https://www.w3schools.com/,285,0,192
1673162479719,710,css,200,OK,tidal_users 1-20,text,true,,101127,134,4,4,https://www.w3schools.com/css/default.asp,98,0,0
1673162479863,628,css,200,OK,tidal_users 1-21,text,true,,101127,134,3,3,https://www.w3schools.com/css/default.asp,93,0,0
1673162480113,400,HomePage,200,OK,tidal_users 1-23,text,true,,119682,119,2,2,https://www.w3schools.com/,300,0,200
1673162479995,550,html,200,OK,tidal_users 1-22,text,true,,97948,135,2,2,https://www.w3schools.com/html/default.asp,93,0,0
1673162480614,380,HomePage,200,OK,tidal_users 1-24,text,true,,119682,119,3,3,https://www.w3schools.com/,285,0,190
1673162480513,579,html,200,OK,tidal_users 1-23,text,true,,97948,135,3,3,https://www.w3schools.com/html/default.asp,97,0,0
1673162480546,595,css,200,OK,tidal_users 1-22,text,true,,101127,134,4,4,https://www.w3schools.com/css/default.asp,93,0,0
1673162480995,554,html,200,OK,tidal_users 1-24,text,true,,97948,135,3,3,https://www.w3schools.com/html/default.asp,92,0,0
1673162481092,620,css,200,OK,tidal_users 1-23,text,true,,101127,134,4,4,https://www.w3schools.com/css/default.asp,98,0,0
1673162481615,378,HomePage,200,OK,tidal_users 1-26,text,true,,119682,119,3,3,https://www.w3schools.com/,282,0,189
1673162481550,462,css,200,OK,tidal_users 1-24,text,true,,101127,134,3,3,https://www.w3schools.com/css/default.asp,92,0,0
1673162481115,995,HomePage,200,OK,tidal_users 1-25,text,true,,119682,119,2,2,https://www.w3schools.com/,297,0,200
1673162481993,459,html,200,OK,tidal_users 1-26,text,true,,97948,135,3,3,https://www.w3schools.com/html/default.asp,92,0,0
